name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,N61311_Ctrl,N052611_Ctrl,N080611_Ctrl,N061011_Ctrl,N61311_Dex,N052611_Dex,N080611_Dex,N061011_Dex
ENSG00000152583,SPARCL1,80.8,2,78.8,37.424,5.2,4.3e-09,0.0e+00,0,0,1,1,2,4,92,79,61,83
ENSG00000096060,FKBP5,216,15.8,200.2,12.551,3.6,7.6e-09,1.0e-04,0,0,17,15,21,10,201,248,177,175
ENSG00000178695,KCTD12,232.8,201.5,31.2,0.155,-2.7,2.6e-08,2.0e-04,1e-04,0,219,189,197,201,39,23,37,26
ENSG00000166741,NNMT,598.5,110.8,487.8,4.398,2.1,4.0e-08,4.0e-04,1e-04,0,105,126,124,88,560,457,478,456
ENSG00000189221,MAOA,193,20.8,172.2,8.239,3,4.6e-08,4.0e-04,1e-04,0,22,22,27,12,152,180,200,157
ENSG00000124766,SOX4,112.5,97,15.5,0.164,-2.6,1.6e-07,1.5e-03,2e-04,0,116,86,98,88,20,12,19,11
ENSG00000148175,STOM,1140,313.8,826.2,2.633,1.4,1.8e-07,1.7e-03,2e-04,0,310,324,309,312,861,739,795,910
ENSG00000162614,NEXN,453,98.5,354.5,3.595,1.8,2.8e-07,2.5e-03,3e-04,0,102,93,79,120,331,407,310,370
ENSG00000101347,SAMHD1,1184.5,80.8,1103.8,13.655,3.8,3.0e-07,2.7e-03,3e-04,0,78,77,80,88,857,1403,554,1601
ENSG00000172986,GXYLT2,66.5,53,13.5,0.259,-1.9,3.8e-07,3.5e-03,3e-04,0,61,55,50,46,15,12,14,13
ENSG00000109906,ZBTB16,96.5,1.5,95,58.982,5.9,4.0e-07,3.7e-03,3e-04,0,0,3,0,3,100,97,46,137
ENSG00000162692,VCAM1,41.2,39,2.2,0.061,-4,4.6e-07,4.2e-03,4e-04,0,39,40,40,37,3,2,4,0
ENSG00000131389,SLC6A6,66.2,54.5,11.8,0.22,-2.2,6.5e-07,5.9e-03,5e-04,0,49,71,49,49,11,13,12,11
ENSG00000120129,DUSP1,290.5,34.8,255.8,7.332,2.9,7.8e-07,7.1e-03,5e-04,0,19,49,35,36,238,301,176,308
ENSG00000151726,ACSL1,126.5,28.2,98.2,3.495,1.8,7.9e-07,7.2e-03,5e-04,0,24,31,27,31,80,116,87,110
ENSG00000108821,COL1A1,8736,6287.2,2448.8,0.389,-1.4,8.1e-07,7.4e-03,5e-04,0,6214,5861,6617,6457,2330,2356,2830,2279
ENSG00000179094,PER1,66.5,7,59.5,8.449,3.1,9.0e-07,8.2e-03,5e-04,0,7,4,10,7,74,42,49,73
ENSG00000135821,GLUL,1601.8,179,1422.8,7.954,3,1.0e-06,9.3e-03,5e-04,0,209,179,181,147,1786,1351,701,1853
ENSG00000143344,RGL1,88.8,64.5,24.2,0.379,-1.4,1.4e-06,1.3e-02,7e-04,0,63,64,60,71,21,25,24,27
ENSG00000103196,CRISPLD2,263.8,37.5,226.2,6.039,2.6,1.6e-06,1.4e-02,7e-04,0,36,38,32,44,274,257,117,257
ENSG00000196136,SERPINA3,232.8,25.5,207.2,8.177,3,1.9e-06,1.7e-02,8e-04,0,30,33,21,18,333,195,137,164
ENSG00000125148,MT2A,314.2,59.8,254.5,4.245,2.1,1.9e-06,1.8e-02,8e-04,0,89,43,45,62,275,244,271,228
ENSG00000179820,MYADM,456,123.2,332.8,2.699,1.4,2.0e-06,1.8e-02,8e-04,0,119,136,101,137,275,327,391,338
ENSG00000116285,ERRFI1,265.8,41.5,224.2,5.409,2.4,2.3e-06,2.1e-02,8e-04,0,33,40,61,32,141,261,243,252
ENSG00000154734,ADAMTS1,2568.2,450.5,2117.8,4.703,2.2,2.3e-06,2.1e-02,8e-04,0,282,509,396,615,1775,2252,1920,2524
ENSG00000170214,ADRA1B,19.5,1,18.5,16.661,4.1,2.5e-06,2.2e-02,9e-04,0,0,1,1,2,16,25,11,22
ENSG00000227051,C14orf132,397.5,280.5,117,0.418,-1.3,2.8e-06,2.6e-02,9e-04,0,284,248,278,312,121,105,102,140
ENSG00000253368,TRNP1,101,20.2,80.8,4.051,2,2.9e-06,2.6e-02,9e-04,0,13,20,25,23,71,91,66,95
ENSG00000119138,KLF9,144.5,25.2,119.2,4.747,2.2,3.2e-06,3.0e-02,0.001,0,32,28,23,18,120,155,76,126
ENSG00000173068,BNC2,237,161.2,75.8,0.47,-1.1,3.5e-06,3.2e-02,0.001,0,155,176,144,170,82,68,80,73
ENSG00000164125,GASK1B,612,202.8,409.2,2.02,1,3.6e-06,3.3e-02,0.001,0,185,229,199,198,436,390,411,400
ENSG00000162616,DNAJB4,119,33.8,85.2,2.54,1.3,3.8e-06,3.4e-02,0.001,0,33,39,27,36,77,91,91,82
ENSG00000112837,TBX18,236.8,185.5,51.2,0.276,-1.9,3.8e-06,3.5e-02,0.001,0,169,173,200,200,48,58,68,31
ENSG00000198624,CCDC69,178.5,22.8,155.8,6.875,2.8,4.1e-06,3.7e-02,0.0011,0,18,26,13,34,206,176,93,148
ENSG00000133142,TCEAL4,253.8,69.2,184.5,2.67,1.4,4.3e-06,3.9e-02,0.0011,0,58,81,66,72,172,234,163,169
ENSG00000163884,KLF15,43.5,1,42.5,38.483,5.3,4.5e-06,4.1e-02,0.0011,0,3,0,0,1,67,37,14,52
ENSG00000077684,JADE1,135,39.5,95.5,2.405,1.3,4.6e-06,4.2e-02,0.0011,0,38,44,33,43,88,91,91,112
ENSG00000141298,SSH2,179.8,50.2,129.5,2.573,1.4,4.8e-06,4.4e-02,0.0012,0,55,54,50,42,143,144,100,131
ENSG00000221869,CEBPD,160.8,41.8,119,2.849,1.5,5.2e-06,4.8e-02,0.0012,0,50,32,46,39,142,97,122,115
ENSG00000163513,TGFBR2,1127.5,303.2,824.2,2.718,1.4,5.2e-06,4.8e-02,0.0012,0,240,293,344,336,656,927,761,953
ENSG00000149218,ENDOD1,179,36.8,142.2,3.868,2,6.1e-06,5.6e-02,0.0014,0,32,39,39,37,87,164,186,132
ENSG00000114270,COL7A1,130,36.2,93.8,2.583,1.4,6.3e-06,5.8e-02,0.0014,0,43,31,34,37,100,73,101,101
ENSG00000211445,GPX3,1004,74.5,929.5,12.444,3.6,6.4e-06,5.8e-02,0.0014,0,41,121,53,83,718,1434,441,1125
ENSG00000119139,TJP2,464.2,93.5,370.8,3.951,2,7.3e-06,6.6e-02,0.0015,0,101,118,80,75,257,491,293,442
ENSG00000157214,STEAP2,248.2,48.8,199.5,4.083,2,8.7e-06,8.0e-02,0.0018,0,40,70,40,45,177,265,134,222
ENSG00000143320,CRABP2,133.2,105.8,27.5,0.263,-1.9,8.8e-06,8.0e-02,0.0018,0,100,147,76,100,37,28,23,22
ENSG00000116584,ARHGEF2,200.8,138.8,62,0.447,-1.2,9.0e-06,8.2e-02,0.0018,0,142,150,140,123,76,55,64,53
ENSG00000181061,HIGD1A,208,60.5,147.5,2.422,1.3,9.3e-06,8.5e-02,0.0018,0,66,51,53,72,172,143,124,151
ENSG00000144369,FAM171B,112,82.5,29.5,0.359,-1.5,1.0e-05,9.2e-02,0.0018,0,87,59,98,86,33,31,25,29
ENSG00000134686,PHC2,240.8,58,182.8,3.156,1.7,1.0e-05,9.2e-02,0.0018,0,71,62,65,34,154,187,189,201
ENSG00000139289,PHLDA1,243,169.8,73.2,0.433,-1.2,1.0e-05,9.2e-02,0.0018,0,185,151,172,171,79,57,89,68
ENSG00000108960,MMD,146.8,38.2,108.5,2.832,1.5,1.1e-05,9.6e-02,0.0018,0,38,40,48,27,130,99,92,113
ENSG00000164647,STEAP1,136.2,33.8,102.5,3.059,1.6,1.1e-05,9.7e-02,0.0018,0,34,37,21,43,119,104,97,90
ENSG00000277443,MARCKS,482.2,342.5,139.8,0.409,-1.3,1.1e-05,1.0e-01,0.0019,0,369,289,387,325,142,147,166,104
ENSG00000136478,TEX2,296.5,74.2,222.2,2.985,1.6,1.3e-05,1.2e-01,0.0022,0,67,71,66,93,150,252,212,275
ENSG00000106976,DNM1,95.2,74.2,21,0.284,-1.8,1.4e-05,1.2e-01,0.0022,0,88,69,56,84,20,16,17,31
ENSG00000174306,ZHX3,294.2,96.5,197.8,2.042,1,1.4e-05,1.3e-01,0.0023,0,102,91,87,106,184,203,171,233
ENSG00000185432,TMT1A,330.8,62,268.8,4.337,2.1,1.5e-05,1.3e-01,0.0023,0,68,67,46,67,240,345,144,346
ENSG00000185950,IRS2,193,35.2,157.8,4.461,2.2,1.5e-05,1.4e-01,0.0023,0,34,42,33,32,81,185,147,218
ENSG00000003402,CFLAR,267,86,181,2.101,1.1,1.6e-05,1.4e-01,0.0024,0,76,83,104,81,151,189,194,190
ENSG00000163110,PDLIM5,106.5,29.5,77,2.602,1.4,1.6e-05,1.5e-01,0.0024,0,20,33,27,38,76,72,79,81
ENSG00000196975,ANXA4,405.2,129,276.2,2.139,1.1,1.7e-05,1.6e-01,0.0025,0,146,126,117,127,274,283,219,329
ENSG00000154310,TNIK,66.5,49,17.5,0.358,-1.5,1.9e-05,1.7e-01,0.0027,0,46,42,45,63,14,18,20,18
ENSG00000134243,SORT1,459.5,89,370.5,4.157,2.1,1.9e-05,1.7e-01,0.0027,0,57,115,93,91,208,463,433,378
ENSG00000130066,SAT1,321.5,98,223.5,2.28,1.2,2.1e-05,1.9e-01,0.003,0,84,114,115,79,245,199,200,250
ENSG00000107562,CXCL12,2381,1908,473,0.248,-2,2.2e-05,2.0e-01,0.003,0,2306,1047,2166,2113,488,305,538,561
ENSG00000157150,TIMP4,16.2,1.2,15,11.202,3.5,2.2e-05,2.0e-01,0.003,0,0,1,3,1,15,12,21,12
ENSG00000157514,TSC22D3,189.5,17.5,172,9.958,3.3,2.3e-05,2.1e-01,0.003,0,12,33,11,14,209,193,64,222
ENSG00000172403,SYNPO2,782.2,197.5,584.8,2.96,1.6,2.3e-05,2.1e-01,0.003,0,175,243,230,142,501,606,769,463
ENSG00000115419,GLS,356.8,118.5,238.2,2.013,1,2.4e-05,2.2e-01,0.0032,0,110,106,114,144,203,263,251,236
ENSG00000132970,WASF3,103,33.5,69.5,2.073,1.1,2.5e-05,2.2e-01,0.0032,0,28,37,38,31,64,72,69,73
ENSG00000166482,MFAP4,2354.8,1566,788.8,0.504,-1,2.6e-05,2.3e-01,0.0032,0,1693,1466,1527,1578,738,810,661,946
ENSG00000183160,TMEM119,263.8,179.2,84.5,0.471,-1.1,2.6e-05,2.4e-01,0.0032,0,214,184,143,176,79,86,98,75
ENSG00000116132,PRRX1,471.2,306.5,164.8,0.538,-0.9,2.6e-05,2.4e-01,0.0032,0,304,328,313,281,184,178,158,139
ENSG00000144724,PTPRG,281,88,193,2.188,1.1,2.6e-05,2.4e-01,0.0032,0,79,89,105,79,198,184,235,155
ENSG00000118689,FOXO3,412.2,125.5,286.8,2.285,1.2,2.7e-05,2.4e-01,0.0032,0,155,109,117,121,229,300,267,351
ENSG00000141401,IMPA2,51.8,9.8,42,4.274,2.1,2.8e-05,2.5e-01,0.0033,0,9,15,7,8,34,58,42,34
ENSG00000221968,FADS3,147.5,46.2,101.2,2.185,1.1,2.8e-05,2.5e-01,0.0033,0,46,43,50,46,91,89,132,93
ENSG00000113580,NR3C1,228.5,156,72.5,0.464,-1.1,2.9e-05,2.6e-01,0.0033,0,164,168,114,178,78,73,66,73
ENSG00000103064,SLC7A6,153.2,36.8,116.5,3.144,1.7,2.9e-05,2.6e-01,0.0033,0,44,46,31,26,115,141,79,131
ENSG00000187498,COL4A1,192.5,57.5,135,2.359,1.2,3.3e-05,3.0e-01,0.0037,0,58,62,58,52,137,99,177,127
ENSG00000197043,ANXA6,1158.2,413.2,745,1.803,0.9,3.4e-05,3.1e-01,0.0038,0,433,466,382,372,825,730,721,704
ENSG00000166825,ANPEP,358.5,112.8,245.8,2.182,1.1,3.5e-05,3.2e-01,0.0039,0,109,104,111,127,261,242,180,300
ENSG00000114098,ARMC8,93.8,26,67.8,2.621,1.4,3.5e-05,3.2e-01,0.0039,0,23,27,24,30,90,59,52,70
ENSG00000134294,SLC38A2,1711.2,527.5,1183.8,2.244,1.2,3.8e-05,3.4e-01,0.0041,0,546,480,555,529,916,1467,990,1362
ENSG00000198431,TXNRD1,1913.2,504.8,1408.5,2.791,1.5,3.8e-05,3.5e-01,0.0041,0,534,484,528,473,1135,1860,929,1710
ENSG00000183722,LHFPL6,257.2,95.5,161.8,1.689,0.8,4.2e-05,3.8e-01,0.0044,0,91,102,93,96,163,178,161,145
ENSG00000049759,NEDD4L,124.5,88.2,36.2,0.409,-1.3,4.2e-05,3.8e-01,0.0044,0,98,87,88,80,31,25,47,42
ENSG00000157613,CREB3L1,234.2,157,77.2,0.49,-1,4.4e-05,4.0e-01,0.0045,0,141,144,156,187,90,84,62,73
ENSG00000169738,DCXR,52,8.5,43.5,5.111,2.4,4.5e-05,4.0e-01,0.0045,0,8,13,7,6,29,64,31,50
ENSG00000008256,CYTH3,301.8,90,211.8,2.347,1.2,4.5e-05,4.1e-01,0.0045,0,84,94,91,91,138,223,257,229
ENSG00000011198,ABHD5,155.8,51,104.8,2.055,1,4.8e-05,4.4e-01,0.0047,0,43,44,65,52,98,109,96,116
ENSG00000138316,ADAMTS14,58.5,48.8,9.8,0.204,-2.3,4.8e-05,4.4e-01,0.0047,0,41,49,66,39,10,6,18,5
ENSG00000154262,ABCA6,193.5,65.5,128,1.968,1,4.9e-05,4.4e-01,0.0047,0,60,65,66,71,131,132,99,150
ENSG00000174437,ATP2A2,870.2,246.8,623.5,2.524,1.3,4.9e-05,4.5e-01,0.0047,0,269,274,224,220,530,603,889,472
ENSG00000067082,KLF6,284.8,85.2,199.5,2.34,1.2,5.0e-05,4.5e-01,0.0047,0,87,85,80,89,182,184,152,280
ENSG00000145685,LHFPL2,173.2,123.8,49.5,0.399,-1.3,5.1e-05,4.7e-01,0.0048,0,165,107,120,103,45,65,42,46
ENSG00000108604,SMARCD2,184.2,53,131.2,2.476,1.3,5.2e-05,4.7e-01,0.0048,0,57,51,47,57,182,117,95,131
ENSG00000173517,PEAK1,670.8,229.2,441.5,1.927,0.9,5.3e-05,4.8e-01,0.0049,0,207,257,216,237,415,377,429,545
ENSG00000177666,PNPLA2,209.8,68,141.8,2.085,1.1,5.4e-05,4.9e-01,0.005,0,75,77,55,65,125,165,120,157
ENSG00000127954,STEAP4,39.2,1.5,37.8,23.399,4.5,5.6e-05,5.1e-01,0.0051,1,2,2,1,1,28,84,11,28
ENSG00000172831,CES2,109.5,73.8,35.8,0.487,-1,5.7e-05,5.1e-01,0.0051,1,77,78,68,72,29,34,34,46
ENSG00000013297,CLDN11,294.5,227.5,67,0.295,-1.8,5.8e-05,5.3e-01,0.0052,1,280,187,177,266,77,85,33,73
ENSG00000071282,LMCD1,350,83.8,266.2,3.178,1.7,5.9e-05,5.4e-01,0.0052,1,81,113,48,93,205,315,218,327
ENSG00000134363,FST,244.2,192,52.2,0.273,-1.9,6.3e-05,5.7e-01,0.0055,1,134,283,183,168,31,56,75,47
ENSG00000179222,MAGED1,407.2,253,154.2,0.61,-0.7,6.5e-05,5.9e-01,0.0055,1,270,254,268,220,160,155,153,149
ENSG00000166484,MAPK7,93.8,31,62.8,2.028,1,6.5e-05,5.9e-01,0.0055,1,33,25,34,32,72,65,56,58
ENSG00000139132,FGD4,97,19,78,4.094,2,6.5e-05,5.9e-01,0.0055,1,13,22,16,25,52,80,57,123
ENSG00000123562,MORF4L2,408,142,266,1.87,0.9,6.6e-05,6.0e-01,0.0055,1,156,118,155,139,274,279,293,218
ENSG00000140545,MFGE8,785.5,257.2,528.2,2.05,1,6.7e-05,6.1e-01,0.0056,1,194,247,309,279,477,474,564,598
ENSG00000049246,PER3,28.2,23.8,4.5,0.196,-2.4,6.9e-05,6.3e-01,0.0057,1,24,20,29,22,4,6,7,1
ENSG00000020577,SAMD4A,258.2,80.2,178,2.216,1.1,7.0e-05,6.3e-01,0.0057,1,87,70,69,95,163,179,140,230
ENSG00000181467,RAP2B,60,42,18,0.434,-1.2,7.1e-05,6.4e-01,0.0058,1,42,37,49,40,22,18,14,18
ENSG00000288335,TWIST2,377.5,142,235.5,1.656,0.7,7.2e-05,6.5e-01,0.0058,1,139,154,136,139,251,204,240,247
ENSG00000168398,BDKRB2,527,423.8,103.2,0.244,-2,7.4e-05,6.7e-01,0.0058,1,413,392,532,358,140,64,155,54
ENSG00000136859,ANGPTL2,549.2,355.2,194,0.546,-0.9,7.4e-05,6.7e-01,0.0058,1,331,314,415,361,206,201,160,209
ENSG00000256235,SMIM3,94,28.5,65.5,2.29,1.2,7.5e-05,6.7e-01,0.0058,1,31,31,28,24,63,48,70,81
ENSG00000102804,TSC22D1,428.8,137,291.8,2.126,1.1,7.5e-05,6.8e-01,0.0058,1,102,163,140,143,236,329,330,272
ENSG00000113916,BCL6,157.5,53,104.5,1.967,1,7.5e-05,6.8e-01,0.0058,1,62,51,53,46,90,115,91,122
ENSG00000165030,NFIL3,116.8,35.8,81,2.254,1.2,7.8e-05,7.1e-01,0.006,1,40,35,36,32,109,64,73,78
ENSG00000169855,ROBO1,157.8,111.5,46.2,0.414,-1.3,8.1e-05,7.3e-01,0.0061,1,116,86,157,87,46,45,50,44
ENSG00000070404,FSTL3,150.8,33.5,117.2,3.505,1.8,8.2e-05,7.4e-01,0.0062,1,48,34,19,33,136,115,72,146
ENSG00000182552,RWDD4,84.8,25.5,59.2,2.333,1.2,8.3e-05,7.5e-01,0.0062,1,26,26,23,27,58,47,52,80
ENSG00000136999,CCN3,37.8,32.5,5.2,0.168,-2.6,8.3e-05,7.5e-01,0.0062,1,25,34,20,51,2,6,7,6
ENSG00000137801,THBS1,8063,1714.8,6348.2,3.703,1.9,8.7e-05,7.9e-01,0.0063,1,1494,2331,1453,1581,2950,8252,7116,7075
ENSG00000078269,SYNJ2,99.2,64.2,35,0.545,-0.9,8.9e-05,8.0e-01,0.0063,1,64,64,68,61,29,34,41,36
ENSG00000112658,SRF,117.5,39,78.5,2.001,1,8.9e-05,8.0e-01,0.0063,1,41,37,36,42,89,60,90,75
ENSG00000167549,CORO6,165.2,26,139.2,5.38,2.4,8.9e-05,8.0e-01,0.0063,1,31,36,12,25,183,133,60,181
ENSG00000165507,DEPP1,1558.2,395.5,1162.8,2.938,1.6,8.9e-05,8.0e-01,0.0063,1,380,433,297,472,852,1533,789,1477
ENSG00000106617,PRKAG2,87,23.2,63.8,2.771,1.5,9.1e-05,8.2e-01,0.0063,1,13,29,25,26,54,79,61,61
ENSG00000157654,PALM2AKAP2,676.2,221.2,455,2.056,1,9.1e-05,8.2e-01,0.0063,1,216,252,243,174,387,454,574,405
ENSG00000196569,LAMA2,1508.2,318.8,1189.5,3.732,1.9,9.1e-05,8.2e-01,0.0063,1,263,421,203,388,1226,1183,660,1689
ENSG00000100242,SUN2,340.8,76.5,264.2,3.447,1.8,9.5e-05,8.6e-01,0.0065,1,91,100,42,73,277,279,157,344
ENSG00000117758,STX12,148.5,49.5,99,1.997,1,9.5e-05,8.6e-01,0.0065,1,46,46,55,51,83,116,82,115
ENSG00000146592,CREB5,58.5,46.5,12,0.262,-1.9,9.7e-05,8.7e-01,0.0065,1,51,39,42,54,18,5,8,17
ENSG00000116962,NID1,786.2,207.2,579,2.789,1.5,9.7e-05,8.7e-01,0.0065,1,217,189,201,222,726,565,310,715
ENSG00000106615,RHEB,181,63.8,117.2,1.841,0.9,9.8e-05,8.8e-01,0.0065,1,55,58,67,75,113,133,103,120
ENSG00000135862,LAMC1,2849.2,1061.2,1788,1.685,0.8,1.0e-04,9.1e-01,0.0067,1,959,1093,1214,979,1813,1740,1696,1903
ENSG00000288445,HPS5,81.8,22.2,59.5,2.665,1.4,1.0e-04,9.2e-01,0.0067,1,20,20,28,21,38,73,66,61
ENSG00000138078,PREPL,147,92.8,54.2,0.582,-0.8,1.0e-04,9.4e-01,0.0068,1,92,81,108,90,53,52,57,55
ENSG00000051108,HERPUD1,186,68.8,117.2,1.71,0.8,1.0e-04,9.4e-01,0.0068,1,77,67,66,65,106,116,136,111
ENSG00000023909,GCLM,163.5,51.8,111.8,2.151,1.1,1.1e-04,9.6e-01,0.0069,1,42,56,51,58,82,118,140,107
ENSG00000134684,YARS1,103.5,70,33.5,0.482,-1.1,1.1e-04,1.0e+00,0.0071,1,53,81,72,74,28,39,32,35
ENSG00000163661,PTX3,807,151.5,655.5,4.331,2.1,1.1e-04,1.0e+00,0.0071,1,104,222,87,193,554,644,414,1010
ENSG00000077063,CTTNBP2,27.5,21,6.5,0.32,-1.6,1.1e-04,1.0e+00,0.0072,1,25,22,16,21,8,8,5,5
ENSG00000205978,NYNRIN,139.5,97.5,42,0.431,-1.2,1.2e-04,1.0e+00,0.0073,1,120,93,88,89,51,44,26,47
ENSG00000087448,KLHL42,89,28.8,60.2,2.099,1.1,1.2e-04,1.0e+00,0.0077,1,26,22,37,30,61,63,64,53
ENSG00000111859,NEDD9,143,36.2,106.8,2.947,1.6,1.3e-04,1.0e+00,0.0078,1,38,40,36,31,57,127,144,99
ENSG00000077254,USP33,235,86.2,148.8,1.72,0.8,1.3e-04,1.0e+00,0.0079,1,83,84,83,95,132,170,130,163
ENSG00000112936,C7,170.8,15.2,155.5,10.092,3.3,1.3e-04,1.0e+00,0.0079,1,11,5,35,10,233,65,221,103
ENSG00000101825,MXRA5,414,301.2,112.8,0.375,-1.4,1.3e-04,1.0e+00,0.0079,1,227,451,250,277,95,147,93,116
ENSG00000140105,WARS1,247.8,177.8,70,0.394,-1.3,1.3e-04,1.0e+00,0.0079,1,181,181,109,240,78,81,60,61
ENSG00000099337,KCNK6,89.5,13.8,75.8,5.507,2.5,1.4e-04,1.0e+00,0.0081,1,7,14,23,11,31,81,106,85
ENSG00000114853,ZBTB47,278.8,106.2,172.5,1.622,0.7,1.4e-04,1.0e+00,0.0081,1,110,93,107,115,185,155,166,184
ENSG00000196517,SLC6A9,19,16.8,2.2,0.145,-2.8,1.4e-04,1.0e+00,0.0081,1,13,21,14,19,0,2,3,4
ENSG00000163083,INHBB,33.5,1.8,31.8,17.085,4.1,1.4e-04,1.0e+00,0.0081,1,0,1,4,2,15,21,68,23
ENSG00000148848,ADAM12,121,98.2,22.8,0.235,-2.1,1.4e-04,1.0e+00,0.0081,1,109,130,109,45,24,29,27,11
ENSG00000150907,FOXO1,54.2,11.2,43,3.772,1.9,1.4e-04,1.0e+00,0.0082,1,15,11,10,9,36,45,25,66
ENSG00000123094,RASSF8,100.2,35,65.2,1.87,0.9,1.5e-04,1.0e+00,0.0084,1,31,34,41,34,68,73,66,54
ENSG00000177674,AGTRAP,59.5,18.8,40.8,2.19,1.1,1.5e-04,1.0e+00,0.0086,1,15,24,20,16,47,40,34,42
ENSG00000127824,TUBA4A,22,17.5,4.5,0.264,-1.9,1.6e-04,1.0e+00,0.0087,1,14,17,24,15,3,4,7,4
ENSG00000075240,GRAMD4,44.8,33.8,11,0.333,-1.6,1.6e-04,1.0e+00,0.0087,1,35,26,33,41,8,11,17,8
ENSG00000008130,NADK,134.5,50.8,83.8,1.647,0.7,1.6e-04,1.0e+00,0.0087,1,53,52,54,44,77,86,87,85
ENSG00000009413,REV3L,689.2,216,473.2,2.186,1.1,1.6e-04,1.0e+00,0.0089,1,217,185,243,219,455,570,308,560
ENSG00000147526,TACC1,731.2,262.2,469,1.789,0.8,1.6e-04,1.0e+00,0.009,1,248,267,229,305,471,493,376,536
ENSG00000131446,MGAT1,471.5,178.8,292.8,1.638,0.7,1.7e-04,1.0e+00,0.0094,2,192,171,161,191,275,279,274,343
ENSG00000196616,ADH1B,3014.2,940.2,2074,2.206,1.1,1.7e-04,1.0e+00,0.0094,2,888,941,978,954,2406,2458,1261,2171
ENSG00000105835,NAMPT,230.2,76.2,154,2.018,1,1.7e-04,1.0e+00,0.0095,2,78,72,87,68,160,178,105,173
ENSG00000156671,SAMD8,133.8,50,83.8,1.669,0.7,1.8e-04,1.0e+00,0.0095,2,52,54,46,48,85,91,72,87
ENSG00000080200,CRYBG3,133.8,85,48.8,0.575,-0.8,1.9e-04,1.0e+00,0.01,2,95,86,78,81,57,44,43,51
ENSG00000071242,RPS6KA2,954.2,333.2,621,1.864,0.9,1.9e-04,1.0e+00,0.01,2,305,345,387,296,545,534,791,614
ENSG00000124151,NCOA3,133,41,92,2.236,1.2,1.9e-04,1.0e+00,0.01,2,43,39,48,34,65,107,80,116
ENSG00000073712,FERMT2,319.8,120.2,199.5,1.656,0.7,1.9e-04,1.0e+00,0.01,2,123,126,118,114,228,185,218,167
ENSG00000182199,SHMT2,112.8,70.8,42,0.598,-0.7,1.9e-04,1.0e+00,0.0102,2,70,71,74,68,50,39,38,41
ENSG00000103502,CDIPT,284,108.5,175.5,1.617,0.7,2.0e-04,1.0e+00,0.0104,2,118,97,115,104,198,182,158,164
ENSG00000145675,PIK3R1,285,72,213,2.958,1.6,2.0e-04,1.0e+00,0.0106,2,71,82,64,71,236,235,98,283
ENSG00000162772,ATF3,32.8,6.8,26,3.808,1.9,2.1e-04,1.0e+00,0.0106,2,4,8,7,8,14,31,31,28
ENSG00000166348,USP54,27,19.5,7.5,0.396,-1.3,2.1e-04,1.0e+00,0.0106,2,20,22,20,16,7,6,9,8
ENSG00000168781,PPIP5K1,24.2,19.2,5,0.27,-1.9,2.1e-04,1.0e+00,0.0107,2,19,20,22,16,3,3,5,9
ENSG00000173221,GLRX,164,56,108,1.939,1,2.1e-04,1.0e+00,0.0107,2,41,58,66,59,97,127,92,116
ENSG00000164442,CITED2,461.8,113.2,348.5,3.072,1.6,2.1e-04,1.0e+00,0.0107,2,95,128,101,129,285,407,181,521
ENSG00000146122,DAAM2,223.5,58,165.5,2.843,1.5,2.1e-04,1.0e+00,0.0107,2,73,80,34,45,196,199,145,122
ENSG00000219481,NBPF1,99,68.5,30.5,0.449,-1.2,2.2e-04,1.0e+00,0.0107,2,60,60,80,74,24,23,34,41
ENSG00000122966,CIT,28.2,21.5,6.8,0.32,-1.6,2.2e-04,1.0e+00,0.0107,2,18,22,28,18,8,9,6,4
ENSG00000091136,LAMB1,2651,983.5,1667.5,1.696,0.8,2.2e-04,1.0e+00,0.0107,2,865,1138,891,1040,1807,1611,1464,1788
ENSG00000115084,SLC35F5,199.2,75.5,123.8,1.642,0.7,2.2e-04,1.0e+00,0.0107,2,77,78,76,71,100,127,136,132
ENSG00000103485,QPRT,78.5,53,25.5,0.489,-1,2.2e-04,1.0e+00,0.0107,2,59,60,43,50,31,21,28,22
ENSG00000115993,TRAK2,439.2,153.8,285.5,1.855,0.9,2.2e-04,1.0e+00,0.0107,2,127,170,165,153,210,305,313,314
ENSG00000167552,TUBA1A,743.5,533,210.5,0.395,-1.3,2.2e-04,1.0e+00,0.0107,2,689,565,496,382,259,193,258,132
ENSG00000276600,RAB7B,30,23.8,6.2,0.272,-1.9,2.2e-04,1.0e+00,0.0107,2,21,32,17,25,8,9,5,3
ENSG00000026950,BTN3A1,52.8,37,15.8,0.424,-1.2,2.3e-04,1.0e+00,0.0107,2,48,36,38,26,16,18,14,15
ENSG00000189184,PCDH18,543.2,350.2,193,0.551,-0.9,2.3e-04,1.0e+00,0.0107,2,374,362,253,412,190,209,180,193
ENSG00000083223,TUT7,127.2,40,87.2,2.179,1.1,2.3e-04,1.0e+00,0.0107,2,43,31,37,49,62,102,82,103
ENSG00000196950,SLC39A10,71,53,18,0.339,-1.6,2.3e-04,1.0e+00,0.0107,2,46,49,43,74,11,18,27,16
ENSG00000165995,CACNB2,59.5,9,50.5,5.728,2.5,2.3e-04,1.0e+00,0.0107,2,5,20,4,7,38,78,32,54
